,ubicacion,texto,matchType,ubicacionEncontrada,scoreMejorMatch,tipoUbicacionEncontrada,time_ms,truthLocation,foundLocation
16,jose-benito-lamas#jose-ellauri,44uruguay33 hola tipo errores registro debes acudir oficina alli daran informacion ayuda necesaria corregir error completar proceso recuerda oficina ubicada montevideo jose ellauri 938 esquina benito lamas,cruces_vias,jose-benito-lamas#jose-ellauri,124875.566174,cruces_vias,104.052,True,True
581,jose-benito-lamas#jose-ellauri,hola para este tipo de errores en el registro debes acudir a nuestra oficina alli te daran la informacion y la ayuda necesaria para corregir este error y completar tu proceso recuerda que nuestra oficina esta ubicada en montevideo jose ellauri 938 esquina benito lamas sparkling heart,cruces_vias,jose-benito-lamas#jose-ellauri,124875.566174,cruces_vias,110.14,True,True
29,constituyente#juan-manuel-blanes,imtransito rotos semaforos blanes esquina maldonado constituyente,cruces_vias,juan-manuel-blanes#constituyente,82808.50005,cruces_vias,16.184,True,False
576,av-italia#av-bolivia,montevideomejora round pushpin av italia de gallinal a bolivia luce mas amplia y linda bus un carril mas para el bus mejor captacion de aguas pluviales p refugios bicisenda 40 nuevas columnas de alumbrado y 80 luminarias led mas info,cruces_vias,av-italia#av-bolivia,109241.62689,cruces_vias,71.406,True,True
18,arturo-lezama#nicaragua,imtransito mmvs1985 montevideoim cerquita alli lezama 1943 lezama esquina nicaragua todas mananas reservan lugar cajones plastico podran pasar tambien,cruces_vias,arturo-lezama#nicaragua,96344.4565385,cruces_vias,16.197,True,True
10,luis-galvani#chapicuy,lauraraffo favor visite vecindario chapicuy esquina galvani vea trabajadores asentamiento media cuadra avenida general flores verguenza intolerable el olor,cruces_vias,luis-galvani#chapicuy,93279.4114278,cruces_vias,42.739,True,True
22,marco-bruto#bv-26-de-marzo,imtransito montevideoim cartel ceda paso pare esquina marco bruto 26 marzo posible semejante cruce indicativo preferencia circula 26 marzo,cruces_vias,marco-bruto#bv-26-de-marzo,89650.8181064,cruces_vias,45.488,True,True
268,bolsa-valores,finanzas en la bolsa de bolsa de valores de montevideo el indice s amp p tsx baja 0 12 https t co eluuuoaoi6 https t co xk1y10yhce,geonames,bolsa-de-valores-montevideo&bolsa-de-valores-montevideo,88795.9839519,geonames,10.844,True,False
290,bolsa-valores,finanzas en la bolsa de bolsa de valores de montevideo el indice s amp p tsx sube 0 12 https t co gc2kmayhzm https t co rclztgpzbo,geonames,bolsa-de-valores-montevideo&bolsa-de-valores-montevideo,88795.9839519,geonames,14.798,True,False
472,,montevideo es la ciudad mas insegura mas sucia con mas empleados publicos mas planera mas subsidiada mas estatista y con el centro de adoctrinamiento marxista mas grande de uruguay udelar no sorprende que hayan votado al zurdaje si aman vivir a costa del otro,,arenal-grande#av-uruguay,88282.0988947,cruces_vias,70.785,True,False
480,,montevideo es la ciudad mas insegura mas sucia con mas empleados publicos mas planera mas subsidiada mas estatista y con el centro de adoctrinamiento marxista mas grande de uruguay udelar no sorprende que hayan votado al zurdaje si aman vivir a costa del otro,,arenal-grande#av-uruguay,88282.0988947,cruces_vias,66.748,True,False
128,hocquart#batovi,contenedor en hocquart esquina batovi 5 de agosto de 2018 16 30hs hace 10 319 que la izquierda gobierna en mvd hace 1 123 dias que dmartinez uy asumio como intendente resolver los problemas no es cuestion de tiempo sino de capacidad nomasfa https t co 2ptsasshyb,cruces_vias,hocquart#batovi,86004.6,cruces_vias,49.681,True,True
28,dr-aquiles-r-lanza#av-18-de-julio,8m 2020 montevideo uruguay part 3 colectivo afro feminista momento pasar frente sede cinemateca 18 18 julio esquina aquiles lanza,cruces_vias,dr-aquiles-r-lanza#av-18-de-julio,81480.1608107,cruces_vias,70.845,True,True
82,tacuarembo#av-uruguay,que finito no pasa una gillette entre el camion y los contenedores calle cerrada en tacuarembo y uruguay mientras la obra avanza municipiob carlosvarelamvd montevideoim imambiente imtransito https t co h8oamktndt,cruces_vias,tacuarembo#av-uruguay,73573.39686,cruces_vias,47.178,True,True
24,ejido#mercedes,ahora jornada propaganda salen pasacalles montevideo alvaro villar intendente 19 00hs plenario abierto ideal sumarse militar mercedes 1368 esquina ejido,cruces_vias,ejido#mercedes,73348.7741176,cruces_vias,25.42,True,True
30,world-trade-center-montevideo&world-trade-center-montevideo,manana datos muerden charla dictara director mauricio giacometti importancia datos analizarlos jueves 5 3 8 30 world trade center montevideo bonavita 1266 torre 4 sala tempus,geonames,world-trade-center-montevideo&world-trade-center-montevideo,67989.2478072,geonames,30.621,True,True
33,world-trade-center-montevideo&world-trade-center-montevideo,datos muerden charla dictara director mauricio giacometti importancia datos analizarlos jueves 5 3 8 30 world trade center montevideo bonavita 1266 torre 4 sala tempus,geonames,world-trade-center-montevideo&world-trade-center-montevideo,67989.2478072,geonames,29.977,True,True
37,,andresguzbj eramos norte ciudad teniamos lindavista esquina insurgentes montevideo esquina semejaba castillo ahora templo san diego,,psje-20-bloque-1-malvin-norte#ciudad-de-azul,65848.2232599,cruces_vias,57.969,True,False
235,,el 1er rival de olimpia sera uno de estos 3 oriente petrolero macara montevideo wanderers si avanza a fase 2 sera uno de estos 8 wilstermann vasco u espanola u concepcion junior santa fe ind del valle guarani nacional,,ramon-del-valle-inclan#concepcion-arenal,62068.5383457,cruces_vias,58.64,True,False
34,dr-joaquin-de-salterain#av-gral-rivera,usofallido vivi montevideo unica forma comunicarme familia interior si habre usado esquina rivera salterain,cruces_vias,av-gral-rivera#dr-joaquin-de-salterain,23042.8766939,cruces_vias,20.887,True,False
474,avenida-18-de-julio&avenida-18-de-julio,daniel martinez el silicon valley de mvd lo vas a hacer antes o despues del paseo peatonal 18 de julio deja de vender humo trabaja en la limpieza payaso,cruces_vias,18-de-noviembre#psje-peatonal-vehicular,52021.6387765,cruces_vias,79.764,True,False
1,dr-emilio-frugoni#chana,imtransito comomemuevouy mvdtransporte chana esquina frugoni cortada obras,cruces_vias,dr-emilio-frugoni#chana,50818.3709778,cruces_vias,10.6,True,True
364,sheraton-montevideo-hotel&sheraton-montevideo-hotel,postales el plantel activo esta manana en las instalaciones del hotel sheraton en montevideo con miras al partido de hoy olimpiaporsobretodo conmebollibertadores https t co 7sc8t7gc86,geonames,sheraton-montevideo-hotel&sheraton-montevideo-hotel,49169.7868116,geonames,23.427,True,True
402,sheraton-montevideo-hotel&sheraton-montevideo-hotel,en vivo desde el hotel sheraton montevideo uruguay elclubolimpia vs wanderers por conmebollibertadores https t co 36vmcgwqq1,geonames,sheraton-montevideo-hotel&sheraton-montevideo-hotel,49169.7868116,geonames,25.528,True,True
471,sheraton-montevideo-hotel&sheraton-montevideo-hotel,postales el plantel activo esta manana en las instalaciones del hotel sheraton en montevideo con miras al partido de hoy olimpiaporsobretodo conmebollibertadores https t co 7sc8t7gc86,geonames,sheraton-montevideo-hotel&sheraton-montevideo-hotel,49169.7868116,geonames,25.084,True,True
9,av-18-de-julio#minas,noche veraniega disfruta bailando aire libre milonga clandestina partir 22 plaza 33 orientales av 18 julio minas montevideo,cruces_vias,av-18-de-julio#minas,48621.1423579,cruces_vias,54.744,True,True
354,,campeones de la recopa boca 4 inter de porto alegre 2 san pablo 2 olimpia 2 liga de quito y river 2 gremio 2 independiente cruzeiro velez nacional de montevideo colo colo cienciano santo corinthians atletico mineiro atletico nacional 1 vez,,porto-alegre#psje-san-rafael,35774.828523,cruces_vias,101.78,True,False
575,cerro-de-montevideo&cerro-de-montevideo-el-cerro,en esta foto estas en que lugar de europa amorosa esta estuvo en el cerro de montevideo calle venezuela esquina bogota jaaaa sos una genia smiling face with open mouth and smiling eyes,geonames,cerro-de-montevideo&cerro-de-montevideo-el-cerro,32869.6740787,geonames,22.158,True,True
27,dr-lauro-muller#dr-pablo-de-maria,buena propuesta junto excelentes vinos pisanowines taller quesos artesanales montevideo domingo 26 abril 10 18 30hs esquina social club pablo 899 esq lauro muller plazas limitadas mas info,cruces_vias,dr-lauro-muller#dr-pablo-de-maria,32487.6569109,cruces_vias,73.889,True,True
423,,ahora encontraron otro contenedor con droga en el puerto de montevideo ampliaremos la informacion en nuestra edicion central a partir de las 18 55 https t co zqkiav4dxa,,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,30391.8672,geonames,44.654,True,False
430,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,actualiza la cocaina incautada en el puerto de montevideo podria superar las tres toneladas el contenedor llego en una barcaza desde paraguay y estaba en transito rumbo a puertos de africa y europa https t co 6i8j68lufu https t co b8oxc3197m,geonames,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,30391.8672,geonames,35.171,True,True
409,bahia-de-montevideo&bahia-montevideo-bahia-de-montevideo-bahia-de-montevideo-montevideo-bay,playa capurro bahia de montevideo rio de la plata en estado de emergencia sanitaria montevideoim dmartinez uy natgeo la rompkbzas810 dw espanol muyinteresante likechichian miguelfnogueira jmcarzolio iresiduo mvotma uruguay https t co k5kbxgdkgj,geonames,bahia-de-montevideo&bahia-montevideo-bahia-de-montevideo-bahia-de-montevideo-montevideo-bay,30178.76248,geonames,53.798,True,True
132,,este domingo acompana con tu voto a raul rufeil y dale una oportunidad a san martin de tener un municipio ordenado limpio y al servicio de los vecinos mejorparavos mejorparasanmartin https t co nnqukclxxq,,av-gral-san-martin#domingo-aramburu,28420.9108695,cruces_vias,66.569,True,False
26,gral-francisco-caraballo#av-gral-rondeau,chdica jorgewlarranaga imagino ocupaste rondeau esquina caraballo imposible cruzar cualquier horario unica manera tirarse adelante vehiculos gracias chdica espero respuesta,cruces_vias,gral-francisco-caraballo#av-gral-rondeau,28122.6055924,cruces_vias,14.418,True,True
13,cerro-de-montevideo&cerro-de-montevideo-el-cerro,alquiler apto continuacion siti 1 cibils barrio paloma cerro montevideo 2 dor cocina comedor parrillero 13 200 s gastos comunes contaduria anda cocheras economicas llamar lunes viernes 10 20 hrs 2 902 34 82 099 84 50 31,geonames,cerro-de-montevideo&cerro-de-montevideo-el-cerro,27769.914892,geonames,16.94,True,True
19,canelones#bv-gral-artigas,promo vuelta clases optica briozzo esperamos tres sucursales canelones montevideo canelones treinta tres 518 esquina artigas canelones batlle ordonez 161 frente comeca montevideo,cruces_vias,canelones#bv-gral-artigas,27446.6786427,cruces_vias,79.388,True,True
12,av-alfredo-arocena#dr-gabriel-otero,dias frente local reparacion iphone carrasco esquina arocena otero tod s forros estacionan vehiculos vereda cortando paso hablame respeto despues primeros quejarse transito montevideoim imtransito,cruces_vias,av-alfredo-arocena#dr-gabriel-otero,27231.5884006,cruces_vias,48.845,True,True
151,playa-de-carrasco&playa-carrasco,di candia llevate esto al living de tu casa dinama detuvo el volcado de escombros en la arena de playa carrasco punta gorda tras denuncia del abogado gustavo salle por dano a un espacio publico https t co yqrzneqquk,geonames,playa-de-carrasco&playa-carrasco,24543.488676,geonames,38.879,True,True
166,,adeom esta ocupando en estos momentos 9 y 10 am el despacho del intendente municipal de montevideo por discrepancias en el sistema de recoleccion de residuos no esta prohibida la ocupacion de oficinas publicas la anarquia sigue en pie en el estado,,intendencia-municipal-de-montevideo&intendencia-municipal-de-montevideo,21249.0765179,geonames,15.518,True,False
312,av-8-de-octubre&av-8-de-octubre,mugrevideo en todo su esplendor puerta del liceo 14 en avenida 8 de octubre de la ciudad capital del uruguay midesuy montevideoim imambiente marinadefrente dmartinez uy scpresidenciauy frente amplio se ve que disfrutan nuestras autoridades de potenciar estas realidades https t co msthun0gra,lugares_interes,biblioteca-municipal-francisco-schinca&av-8-de-octubre-4210,19931.59305,lugares_interes,42.526,True,False
355,av-8-de-octubre&av-8-de-octubre,mugrevideo en todo su esplendor puerta del liceo 14 en avenida 8 de octubre de la ciudad capital del uruguay midesuy montevideoim imambiente marinadefrente dmartinez uy scpresidenciauy frente amplio se ve que disfrutan nuestras autoridades de potenciar estas realidades https t co msthun0gra,lugares_interes,biblioteca-municipal-francisco-schinca&av-8-de-octubre-4210,19931.59305,lugares_interes,37.4,True,False
32,montevideo-shopping&montevideo-shopping,cajero sacar plata ir feria esquina casa queda mas cerca montevideo shopping bermuda remera ojotas termo mate arranque ahi escuchando musica conoce sabe escucho musica volumen alto,geonames,montevideo-shopping&montevideo-shopping,17345.28468,geonames,45.621,True,True
574,montevideo-shopping&montevideo-shopping,roban estacion de servicio esquina montevideo shopping hace una semana robaron una joyeria a 50 metros de esa estacion de servicio lugar de mucho transito de personas y vehiculos lleno de camaras de video vigilancia y pado man police officerdown pointing backhand index,geonames,montevideo-shopping&montevideo-shopping,17345.28468,geonames,93.716,True,True
489,,olimpia pone mas gente como visitante en montevideo que cerro libertad y guarani como locales en el torneo paraguayo gh1s vot olimpia,,cerro-de-montevideo&cerro-de-montevideo-el-cerro,14530.7407574,geonames,20.343,True,False
478,municipio-e&municipio-e,continuando con el embellecimiento de nuestro municipio cuadrilla de nuestra alcaldia ejecutan limpieza de maleza y recoleccion de desechos solidos en la entrada a nuestro municipio e invitando a nuestro pueblo a no arrojar desechos o basura a las vias por el bien de todos https t co 9gax02ryjj,geonames,municipio-e&municipio-e,14251.365964,geonames,35.337,True,True
586,av-gral-eugenio-garzon#av-millan,sos marica que usas vestido utilizando esta frase tres efectivos de la guardia republicana apalearon a joel artista callejero que trabaja habitualmente en millan y garzon,cruces_vias,av-gral-eugenio-garzon#av-millan,14037.1214876,cruces_vias,41.83,True,True
309,municipio-ch&municipio-ch,seguimos recorriendo el municipio ch estando siempre cerca de la gente para atender la problematica de la basura en el entorno de los contenedores https t co 9pnke7stet,geonames,municipio-ch&municipio-ch,13951.09872,geonames,19.227,True,True
464,municipio-ch&municipio-ch,basura y veredas al tope de reclamos de vecinos del municipio ch https t co ebg7otm99z via elpaisuy,geonames,municipio-ch&municipio-ch,13951.09872,geonames,23.549,True,True
515,municipio-ch&municipio-ch,estamos recorriendo el municipio ch relevando la situacion de limpieza que tenemos en el territorio ya aumentamos el horario de las aspiradoras para atender lo mejor posible esta situacion si el conflicto no se levanta hoy tomaremos nuevas medidas https t co fm700jwiwp,geonames,municipio-ch&municipio-ch,13951.09872,geonames,27.433,True,True
569,municipio-ch&municipio-ch,la juventud se hace cargo por una campana limpia hoy junto a andresabt alcalde del municipio ch reciclatucampana https t co 7tqnacyjw7,geonames,municipio-ch&municipio-ch,13951.09872,geonames,43.892,True,True
194,,canelones uruguay puente sobre avda del parque desbordado debido a las intensas lluvias a todo aquel que se dirija hacia montevideo se recomienda dirijirse por cno burmester detras del hipodromo reporte de las piedras en vivo https t co h5ytqt09mh,,arroyo-de-las-piedras&arroyo-de-las-piedras-piedras,12139.012256,geonames,47.885,True,False
79,,oi en waparadio una comerciante desesperada de rio piedras fue en vivo su negocio d comida se le inundo d gusanos y toda la calle le adjudica esa plaga a la falta d limpieza recogido d basura y escombros d municipio d san juan cerdos vacas gusanos ratas que mas,,municipio-d&municipio-d,11722.79823,geonames,99.849,True,False
91,municipio-a&municipio-a,28feb siguiendo orientaciones del pdte nicolasmaduro alc wilfredordaz continua con el plan de embellecimiento en el municipio a traves de la mvzlabella realizando jornada de limpieza y desmalezamiento en la plaza de las flores ruta2020 lealessiempretraidoresnunca https t co zyeir904yo,geonames,municipio-a&municipio-a,11722.79823,geonames,39.011,True,True
150,municipio-g&municipio-g,taller de compost en el municipio g el comer sano y el hambre cero avanza no en grandes cumbres sino en el compromiso de la comunidad acontraelhambre frentehambre jajofd parlatino org faouruguay jberdeguefao https t co ok2cgf20lu,geonames,municipio-g&municipio-g,11722.79823,geonames,29.563,True,True
155,municipio-a&municipio-a,01oct en aras de continuar embelleciendo nuestro municipio a traves de la mvzlabella creada por el pdte nicolasmaduro y con el apoyo del gob rmarcotorres ejecutamos la limpieza de la av intercomunal en marino trabajamos obedeciendo al pueblo alliceoconalegria https t co q6ovng7yvk,geonames,municipio-a&municipio-a,11722.79823,geonames,35.618,True,True
181,municipio-a&municipio-a,chaobolsasplasticas y chao comunistas danieljadue en ucrania no podrias ser alcalde menos viajar financiado por el municipio a inglaterra estambul palestina eeuu mexico buenos aires diputadosudi diputadosrn quien presentara proyecto para proscribir al pc ley 8987 hoy https t co 5ofiqtvcky,geonames,municipio-a&municipio-a,11722.79823,geonames,39.022,True,True
232,municipio-g&municipio-g,bueno gurices les cuento que en conjunto con el municipio g estamos juntando firmas para poder arreglar las plazas libano y melilla se presento el proyecto en conjunto para que sea mas facil la recoleccion de las 500 firmas es electronico se firme con la ci y demoran 5 minutos,geonames,municipio-g&municipio-g,11722.79823,geonames,35.665,True,True
251,municipio-a&municipio-a,29feb siguiendo orientaciones del pdte nicolasmaduro alc wilfredordaz continua con el plan de embellecimiento en el municipio a traves de la mvzlabella realizando jornada de limpieza y desmalezamiento lealessiempretraidoresnunca unionyprogresoenonomico https t co oid85hpmsr,geonames,municipio-a&municipio-a,11722.79823,geonames,28.588,True,True
363,municipio-a&municipio-a,si un funcionario edil se lleva dos bolsas de cemento del municipio a su casa aunque las devuelva una semana despues cometio delito de peculado jurisprudencia de la cs devolucion de lo ilicitamente apropiado no convierte en atipica la conducta realizada,geonames,municipio-a&municipio-a,11722.79823,geonames,34.912,True,True
377,municipio-f&municipio-f,presentes en recorrida con lauraraffo municipio f conforme por hacerle llegar el pedido de las realidades que viven muchos vecinos de punta de rieles calles sin vituminizar no hay saneamiento caminan entre 15 20 cuadras diarias para poder tomar un omnibus basurales etc https t co xpiexvwn1h,geonames,municipio-f&municipio-f,11722.79823,geonames,35.535,True,True
382,municipio-e&municipio-e,asentamiento aquiles lanza en malvin norte municipio e un simbolo del montevideo olvidado aguas residuales sin saneamiento ratas por doquier sin limpieza ni iluminacion basurales restos de vehiculos plombenia compatriotas que viven en condiciones inhumanas gestion fa https t co y8u4xkf9b8,geonames,municipio-e&municipio-e,11722.79823,geonames,36.872,True,True
465,municipio-a&municipio-a,el compromiso con naucalpan es inmediato por esa razon instrui a todos los trabajadores de limpieza del municipio a restablecer el servicio de recoleccion de basura con el apoyo del lider del sindicato suteym en naucalpan tomas palomares lo lograremos en menos de una semana https t co mph4ikdlym,geonames,municipio-a&municipio-a,11722.79823,geonames,52.561,True,True
